slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,5,1,4,"ADD:4,8;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,0.087713519805868,0.13793103448275862,0.04978248532310938,0.0,0.0,0.1,0.29543375968933105,Feasible|selected=beam_search
2,1,26,1,25,"ADD:2,3;REMOVE:2,5;REMOVE:2,7;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,7;REMOVE:4,8;REMOVE:4,9;REMOVE:5,0;REMOVE:5,1;REMOVE:5,8;REMOVE:6,8;REMOVE:7,0;REMOVE:7,3;REMOVE:7,4;REMOVE:7,5;REMOVE:7,6;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7;REMOVE:9,8",0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:3;3:-;4:-;5:9;6:-;7:-;8:-;9:-,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,0.9068400935061448,0.9615384615384616,0.04530163196768329,0.0,0.0,0.1,0.24776506423950195,Feasible|selected=greedy
3,2,4,2,2,"ADD:2,1;ADD:4,3;REMOVE:2,3;REMOVE:5,9",0:-;1:-;2:3;3:-;4:-;5:9;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:3;5:-;6:-;7:-;8:-;9:-,2@3=1;4@3=1,3,2,2,2,0,1.0,0.8504218963033687,1.0,0.050421896303368595,0.0,0.0,0.2,0.22661423683166504,Feasible|selected=beam_search
4,3,2,1,1,"ADD:4,1;REMOVE:4,3",0:-;1:-;2:1;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,2@1=1;4@1=2,1,3,2,2,0,1.0,0.5059842636045686,0.5,0.10598426360456857,0.0,0.0,0.1,0.17074203491210938,Feasible|selected=greedy
5,4,5,3,2,"ADD:2,4;ADD:5,4;ADD:6,3;REMOVE:2,1;REMOVE:4,1",0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:-;5:4;6:3;7:-;8:-;9:-,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,0.7598044750433874,1.0,0.059804475043387546,0.0,0.0,0.30000000000000004,0.21459007263183594,Feasible|selected=beam_search
6,5,3,1,2,"ADD:4,7;REMOVE:5,4;REMOVE:6,3",0:-;1:-;2:4;3:-;4:-;5:4;6:3;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,0.6822460049922605,0.6666666666666666,0.1155793383255939,0.0,0.0,0.1,0.18742990493774414,Feasible|selected=greedy
7,6,3,1,2,"ADD:4,4;REMOVE:2,4;REMOVE:4,7",0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,1.015718550795881,1.0,0.11571855079588109,0.0,0.0,0.1,0.15743613243103027,Feasible|selected=beam_search
8,7,2,1,1,"ADD:6,5;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,6@5=1,5,1,1,1,0,1.0,0.9920827386445231,1.0,0.09208273864452313,0.0,0.0,0.1,0.14954185485839844,Feasible|selected=beam_search
9,8,2,1,1,"ADD:4,8;REMOVE:6,5",0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,0.9383950647866784,1.0,0.03839506478667843,0.0,0.0,0.1,0.17826318740844727,Feasible|selected=beam_search
10,9,3,2,1,"ADD:3,8;ADD:4,3;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,0.907851506265555,1.0,0.107851506265555,0.0,0.0,0.2,0.17119622230529785,Feasible|selected=greedy
11,10,5,3,2,"ADD:4,1;ADD:4,2;ADD:5,6;REMOVE:3,8;REMOVE:4,3",0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:1|2;5:6;6:-;7:-;8:-;9:-,4@1=1;4@2=1;5@6=1,"1,2,6",3,3,3,0,1.0,0.7975340396522952,1.0,0.09753403965229517,0.0,0.0,0.30000000000000004,0.1929628849029541,Feasible|selected=beam_search
12,11,4,1,3,"ADD:4,3;REMOVE:4,1;REMOVE:4,2;REMOVE:5,6",0:-;1:-;2:-;3:-;4:1|2;5:6;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@3=1,3,1,1,1,0,1.0,1.0024961768752871,1.0,0.10249617687528731,0.0,0.0,0.1,0.15614604949951172,Feasible|selected=greedy
13,12,4,3,1,"ADD:3,8;ADD:4,0;ADD:5,8;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:0;5:8;6:-;7:-;8:-;9:-,3@6=1;3@8=1;4@0=1;5@8=1,"6,8,0",4,4,4,0,1.0,0.7735280774180691,1.0,0.07352807741806908,0.0,0.0,0.30000000000000004,0.20016789436340332,Feasible|selected=greedy
14,13,6,3,3,"ADD:2,4;ADD:2,9;ADD:4,5;REMOVE:3,8;REMOVE:4,0;REMOVE:5,8",0:-;1:-;2:-;3:8;4:0;5:8;6:-;7:-;8:-;9:-,0:-;1:-;2:4|9;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@4=1;2@9=1;4@5=1,"4,9,5",3,3,3,0,1.0,0.7914603973777807,1.0,0.09146039737778072,0.0,0.0,0.30000000000000004,0.193464994430542,Feasible|selected=beam_search
15,14,6,3,3,"ADD:2,6;ADD:4,9;ADD:5,1;REMOVE:2,4;REMOVE:2,9;REMOVE:4,5",0:-;1:-;2:4|9;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:6;3:-;4:9;5:1;6:-;7:-;8:-;9:-,2@6=1;4@6=1;4@2=2;5@1=1,"6,2,1",5,4,4,0,1.0,0.7420511303957784,1.0,0.04205113039577856,0.0,0.0,0.30000000000000004,0.19878125190734863,Feasible|selected=greedy
16,15,5,2,3,"ADD:2,0;ADD:4,5;REMOVE:2,6;REMOVE:4,9;REMOVE:5,1",0:-;1:-;2:6;3:-;4:9;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:0;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1,"0,2,5",3,3,3,0,1.0,0.8675918185121891,1.0,0.067591818512189,0.0,0.0,0.2,0.20286893844604492,Feasible|selected=beam_search
17,16,3,1,2,"ADD:4,3;REMOVE:2,0;REMOVE:4,5",0:-;1:-;2:0;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@2=1;4@3=1,"2,3",2,2,2,0,1.0,0.9471526961615925,1.0,0.04715269616159257,0.0,0.0,0.1,0.17105317115783691,Feasible|selected=greedy
18,17,2,1,1,"ADD:4,4;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,0.9844194491247279,1.0,0.0844194491247279,0.0,0.0,0.1,0.1577160358428955,Feasible|selected=beam_search
19,18,2,1,1,"ADD:5,2;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,5@2=1,2,1,1,1,0,1.0,1.0037377425923668,1.0,0.10373774259236698,0.0,0.0,0.1,0.15477299690246582,Feasible|selected=greedy
